,DC,DC,VA,VA,MD,MD
,Lat,Long,Lat,Long,Lat,Long
3rd & Tingey St SE,38.8749331,-76.9968221,,,,
Lincoln Memorial,38.8892718,-77.0501214003535,,,,
Henry Bacon Dr & Lincoln Memorial Circle NW,38.8904584,-77.0494158,,,,
13th & H St NE,38.9002997,-76.9882,,,,
Adams Mill & Columbia Rd NW,38.9230444,-77.0425553,,,,
Prince St & Union St,,,38.8031237,-77.040363,,
14th & R St NW,38.9126963,-77.03167,,,,
Market Square / King St & Royal St,,,38.8047177,-77.043363,,
3rd & H St NE,38.9003995,-77.0019335,,,,
Lamont & Mt Pleasant NW,38.9319014,-77.0387453,,,,
17th & G St NW,38.8984105,-77.0398694,,,,
12th & U St NW,38.9169994,-77.0339459,,,,
14th & V St NW,38.9175997,-77.0321,,,,
Court House Metro / 15th & N Uhle St ,,,38.8905607,-77.0848299,,
New Hampshire Ave & T St NW,38.9155397,-77.03818,,,,
5th St & Massachusetts Ave NW,,,,,,
Ballston Metro / N Stuart & 9th St N,,,38.8810437,-77.111768,,
15th & K St NW,38.9019997,-77.03353,,,,
11th & M St NW,38.9055658061171,-77.0099159991268,,,,
1st & Rhode Island Ave NW,38.9154167,-77.012289,,,,
1st & O St NW,38.908649,-77.009345,,,,
M St & Pennsylvania Ave NW,38.9051257,-77.056887,,,,
15th & P St NW,38.9098497,-77.034438,,,,
14th & L St NW,38.9038185507749,-77.0094376288768,,,,
10th & K St NW,38.9025842,-77.0556545,,,,
7th & T St NW,38.9154997,-77.0222,,,,
3rd & Elm St NW,38.917323,-77.017836,,,,
Convention Center / 7th & M St NW,38.9057197,-77.022264,,,,
New Jersey Ave & R St NW,38.9127397,-77.0175149,,,,
15th & Euclid St  NW,38.9233824,-77.0351124,,,,
8th & O St NW,38.908484458264,-77.0095113129566,,,,
14th & Girard St NW,38.9257547,-77.0271608,,,,
Lincoln Park / 13th & East Capitol St NE ,38.8904607,-76.988355,,,,
16th & Irving St NW,38.9310994375,-77.0101189583333,,,,
3rd & H St NW,38.9002939023879,-77.0092760716381,,,,
Henry St & Pendleton St,,,38.8114557,-77.050276,,
18th St & Wyoming Ave NW,38.9187984,-77.0415259,,,,
6th & K St NE,38.902598133492,-77.0087867916757,,,,
16th & Harvard St NW,38.9261399,-77.0366677,,,,
14th St & New York Ave NW,38.906966,-77.0098425,,,,
King St Metro North / Cameron St,,,,,,
15th & East Capitol St NE,38.8897308571429,-77.0076468571429,,,,
King St & Patrick St,,,38.8053167,-77.049883,,
14th & G St NW,38.8980687,-77.031823,,,,
Saint Asaph & Madison St,,,,,,
14th & Rhode Island Ave NW,38.9085997,-77.0323,,,,
Ripley & Bonifant St,,,,,,
3rd & M St NE,38.905564,-77.00897,,,,
Potomac & Pennsylvania Ave SE,38.8802997,-76.9862,,,,
14th St & Spring Rd NW,38.9374997,-77.0328,,,,
Tenleytown / Wisconsin Ave & Albemarle St NW,38.9475692,-77.0793404,,,,
11th & S St NW,38.9141632903626,-77.0096068323537,,,,
Park Rd & Holmead Pl NW,38.9308232,-77.0315137,,,,
Hamlin & 7th St NE,,,,,,
Columbus Circle / Union Station,38.8969597,-77.00493,,,,
Kennedy Center,38.89590055,-77.0556727749711,,,,
16th & R St NW,38.9125155245909,-77.0096800656235,,,,
13th & D St NE,38.8948317,-76.987633,,,,
6th St & Indiana Ave NW,38.8934831743341,-77.0107105036317,,,,
21st & M St NW,38.9053997,-77.0471,,,,
Eastern Market Metro / Pennsylvania Ave & 7th St SE,38.8839997,-76.995397,,,,
17th & K St NW,38.9027555,-77.0386382,,,,
Massachusetts Ave & Dupont Circle NW,38.9100997,-77.0444,,,,
34th & Water St NW,,,,,,
4th & M St SW,38.8766997,-77.0178,,,,
Jefferson Dr & 14th St SW,,,,,,
2nd & G St NE,38.898831,-77.007324,,,,
California St & Florida Ave NW,38.9177607,-77.04062,,,,
11th & F St NW,38.8978565,-77.0269125,,,,
7th & R St NW / Shaw Library,38.9127083,-77.0225305,,,,
17th St & Massachusetts Ave NW,,,,,,
14th & Harvard St NW,38.9267997,-77.0322,,,,
10th & U St NW,38.9171997,-77.0259,,,,
